UF,COD.UF,COD.MUNIC,NOMEDOMUNICÍPIO,POPULAÇÃO
RO,11.0,15.0,Alta Floresta D'Oeste,21.558
RO,11.0,23.0,Ariquemes,100.896
RO,11.0,31.0,Cabixi,5.107
RO,11.0,49.0,Cacoal,92.202
RO,11.0,56.0,Cerejeiras,15.237
RO,11.0,64.0,Colorado do Oeste,15.747
RO,11.0,72.0,Corumbiara,7.503
RO,11.0,80.0,Costa Marques,12.633
RO,11.0,98.0,Espigão D'Oeste,29.722
RO,11.0,106.0,Guajará-Mirim,39.396
RO,11.0,114.0,Jaru,52.09
RO,11.0,122.0,Ji-Paraná,136.825
RO,11.0,130.0,Machadinho D'Oeste,30.626
RO,11.0,148.0,Nova Brasilândia D'Oeste,17.355
RO,11.0,155.0,Ouro Preto do Oeste,36.753
RO,11.0,189.0,Pimenta Bueno,37.464
RO,11.0,205.0,Porto Velho,461.748(1)
RO,11.0,254.0,Presidente Médici,19.316
RO,11.0,262.0,Rio Crespo,3.476
RO,11.0,288.0,Rolim de Moura,57.18
RO,11.0,296.0,Santa Luzia D'Oeste,7.394
RO,11.0,304.0,Vilhena,95.599
RO,11.0,320.0,São Miguel do Guaporé,21.612
RO,11.0,338.0,Nova Mamoré,25.452
RO,11.0,346.0,Alvorada D'Oeste,13.092
RO,11.0,379.0,Alto Alegre dos Parecis,13.023
RO,11.0,403.0,Alto Paraíso,17.14
RO,11.0,452.0,Buritis,28.178
RO,11.0,502.0,Novo Horizonte do Oeste,7.653
RO,11.0,601.0,Cacaulândia,4.157
RO,11.0,700.0,Campo Novo de Rondônia,8.84
RO,11.0,809.0,Candeias do Jamari,22.564
RO,11.0,908.0,Castanheiras,3.269
RO,11.0,924.0,Chupinguaia,9.351
RO,11.0,940.0,Cujubim,14.338
RO,11.0,1005.0,Governador Jorge Teixeira,8.012
RO,11.0,1104.0,Itapuã do Oeste,9.465
RO,11.0,1203.0,Ministro Andreazza,6.44
RO,11.0,1302.0,Mirante da Serra,9.2
RO,11.0,1401.0,Monte Negro,11.966
RO,11.0,1435.0,Nova União,6.194
RO,11.0,1450.0,Parecis,3.953
RO,11.0,1468.0,Pimenteiras do Oeste,2.18
RO,11.0,1476.0,Primavera de Rondônia,3.071
RO,11.0,1484.0,São Felipe D'Oeste,5.259
RO,11.0,1492.0,São Francisco do Guaporé,16.302
RO,11.0,1500.0,Seringueiras,11.183
RO,11.0,1559.0,Teixeirópolis,4.284
RO,11.0,1609.0,Theobroma,9.253
RO,11.0,1708.0,Urupá,10.828
RO,11.0,1757.0,Vale do Anari,7.806
RO,11.0,1807.0,Vale do Paraíso,6.487
AC,12.0,13.0,Acrelândia,12.707
AC,12.0,54.0,Assis Brasil,8.157
AC,12.0,104.0,Brasiléia,25.786
AC,12.0,138.0,Bujari,11.962
AC,12.0,179.0,Capixaba,9.737
AC,12.0,203.0,Cruzeiro do Sul,94.345
AC,12.0,252.0,Epitaciolândia,18.697
AC,12.0,302.0,Feijó,35.035
AC,12.0,328.0,Jordão,11.105
AC,12.0,336.0,Mâncio Lima,19.172
AC,12.0,344.0,Manoel Urbano,12.246
AC,12.0,351.0,Marechal Thaumaturgo,16.825
AC,12.0,385.0,Plácido de Castro,16.313
AC,12.0,393.0,Porto Walter,10.706
AC,12.0,401.0,Rio Branco,364.368
AC,12.0,427.0,Rodrigues Alves,16.072
AC,12.0,435.0,Santa Rosa do Purus,7.672
AC,12.0,450.0,Senador Guiomard,21.658
AC,12.0,500.0,Sena Madureira,39.746
AC,12.0,609.0,Tarauacá,43.072
AC,12.0,708.0,Xapuri,18.181
AC,12.0,807.0,Porto Acre,16.218
AM,13.0,29.0,Alvarães,15.916(2)
AM,13.0,60.0,Amaturá,10.814
AM,13.0,86.0,Anamã,9.927
AM,13.0,102.0,Anori,17.052
AM,13.0,144.0,Apuí,21.403
AM,13.0,201.0,Atalaia do Norte,15.44
AM,13.0,300.0,Autazes,41.672
AM,13.0,409.0,Barcelos,18.399(3)
AM,13.0,508.0,Barreirinha,30.99
AM,13.0,607.0,Benjamin Constant,37.436(4)
AM,13.0,631.0,Beruri,20.807
AM,13.0,680.0,Boa Vista do Ramos,24.018
AM,13.0,706.0,Boca do Acre,35.964
AM,13.0,805.0,Borba,33.209(5)
AM,13.0,839.0,Caapiranga,13.851(6)
AM,13.0,904.0,Canutama,17.362
AM,13.0,1001.0,Carauari,29.176
AM,13.0,1100.0,Careiro,30.819
AM,13.0,1159.0,Careiro da Várzea,19.615
AM,13.0,1209.0,Coari,71.13
AM,13.0,1308.0,Codajás,24.071
AM,13.0,1407.0,Eirunepé,33.173
AM,13.0,1506.0,Envira,17.034
